description,priority
"Major water pipe burst on main street, flooding the area.",High
Exposed electrical wires sparking from the pole.,High
A large tree has fallen and is completely blocking the road.,High
Sewage is overflowing from a manhole cover.,High
Emergency fire hydrant is broken and leaking heavily.,High
There is a huge pothole in the middle of the road causing traffic.,Medium
Streetlight on corner has been out for a week.,Medium
"Drainage is clogged, causing minor waterlogging after rain.",Medium
The traffic signal at the junction is not working properly.,Medium
Broken pavement on the sidewalk is a tripping hazard.,Medium
The park bench is broken.,Low
Garbage bin is full and needs to be emptied.,Low
Faded road markings need repainting.,Low
Missed garbage collection on my street.,Low
Graffiti on public wall.,Low
